"","member.name","speaker","last.name","state","party","memberID","theta.est","theta.cilb","theta.ciub"
"99","Whitehouse (RI)","mr whitehouse","Whitehouse","RI","D",99,-1.29502908655113,-1.91517952748599,-0.669186090036139
"49","Inouye (HI)","mr inouye","Inouye","HI","D",49,-1.07286284334989,-1.63538505687337,-0.525486616030003
"60","Levin (MI)","mr levin","Levin","MI","D",60,-1.06402730160674,-1.46276567754578,-0.671780989702857
"70","Mikulski (MD)","ms mikulski","Mikulski","MD","D",70,-0.990047468488357,-1.64473830929805,-0.320190121081238
"54","Klobuchar (MN)","ms klobuchar","Klobuchar","MN","D",54,-0.964546263492859,-1.51303999517575,-0.429848846607242
"75","Obama (IL)","mr obama","Obama","IL","D",75,-0.933170305485164,-1.52835351297914,-0.315029450116936
"59","Leahy (VT)","mr leahy","Leahy","VT","D",59,-0.845763546491399,-1.37575481172759,-0.31062054946989
"1","Akaka (HI)","mr akaka","Akaka","HI","D",1,-0.804002184880772,-1.38130506679098,-0.242511770728968
"76","Pryor (AR)","mr pryor","Pryor","AR","D",76,-0.785400759179679,-1.51848328901548,-0.0772673524187232
"39","Feingold (WI)","mr feingold","Feingold","WI","D",39,-0.783018677170065,-1.24525699456048,-0.336140104191431
"19","Casey (PA)","mr casey","Casey","PA","D",19,-0.725222763644156,-1.27477332580113,-0.182563837254956
"17","Cardin (MD)","mr cardin","Cardin","MD","D",17,-0.724308532188072,-1.1590469410139,-0.288136157072716
"21","Clinton (NY)","mrs clinton","Clinton","NY","D",21,-0.710849642581343,-1.25318739737045,-0.151303072720263
"55","Kohl (WI)","mr kohl","Kohl","WI","D",55,-0.697845157513722,-1.27555199803127,-0.11071953712376
"61","Lieberman (CT)","mr lieberman","Lieberman","CT","I",61,-0.685026188836973,-1.28970026585638,-0.15071695631381
"87","Snowe (ME)","ms snowe","Snowe","ME","R",87,-0.655524308138764,-1.38069341427139,0.10259718125531
"77","Reed (RI)","mr reed","Reed","RI","D",77,-0.61016617640615,-1.15926852397278,-0.0510348500030704
"6","Bayh (IN)","mr bayh","Bayh","IN","D",6,-0.599508221249426,-1.56489374455705,0.39713639807434
"58","Lautenberg (NJ)","mr lautenberg","Lautenberg","NJ","D",58,-0.599011124249378,-1.29409085851907,0.107705212494044
"69","Menendez (NJ)","mr menendez","Menendez","NJ","D",69,-0.550255582390504,-0.931241975729095,-0.155649407622499
"12","Brown (OH)","mr brown","Brown","OH","D",12,-0.510678380388657,-1.12590090628483,0.1430553477689
"16","Cantwell (WA)","ms cantwell","Cantwell","WA","D",16,-0.499512092562582,-1.15207796311129,0.164888700208427
"92","Tester (MT)","mr tester","Tester","MT","D",92,-0.498234353573199,-1.13316695101606,0.129139010203199
"32","Dodd (CT)","mr dodd","Dodd","CT","D",32,-0.463938808986607,-0.849525448969852,-0.0850815831843356
"40","Feinstein (CA)","mrs feinstein","Feinstein","CA","D",40,-0.440062638133361,-0.955377688116446,0.0587609457881313
"53","Kerry (MA)","mr kerry","Kerry","MA","D",53,-0.434908020705721,-1.06431840687577,0.214883108638425
"9","Bingaman (NM)","mr bingaman","Bingaman","NM","D",9,-0.432220059060905,-0.922799921852373,0.0754030934416345
"52","Kennedy (MA)","mr kennedy","Kennedy","MA","D",52,-0.421199017644179,-0.815626933726561,-0.0316007089417548
"80","Rockefeller (WV)","mr rockefeller","Rockefeller","WV","D",80,-0.399186573448189,-1.01778532696176,0.20446207222723
"73","Nelson (FL)","mr nelson of florida","Nelson","FL","D",73,-0.360845972157123,-0.924173018717665,0.220685053352339
"51","Johnson (SD)","mr johnson","Johnson","SD","D",51,-0.359115924881686,-1.20353689693021,0.495091564858396
"82","Sanders (VT)","mr sanders","Sanders","VT","I",82,-0.353692490559208,-0.903273890479132,0.249961644109193
"72","Murray (WA)","mrs murray","Murray","WA","D",72,-0.337116287776892,-0.774070834591534,0.100624401660724
"83","Schumer (NY)","mr schumer","Schumer","NY","D",83,-0.330741667060381,-0.8048032846702,0.149673751517859
"98","Webb (VA)","mr webb","Webb","VA","D",98,-0.306346810847527,-0.913480386684258,0.307583106678659
"15","Byrd (WV)","mr byrd","Byrd","WV","D",15,-0.278040729528489,-0.955621322088917,0.471094556665501
"8","Biden (DE)","mr biden","Biden","DE","D",8,-0.269257904582053,-0.9671499372072,0.40291461910409
"89","Stabenow (MI)","ms stabenow","Stabenow","MI","D",89,-0.269183282889738,-0.721618170718459,0.191391360747186
"62","Lincoln (AR)","mrs lincoln","Lincoln","AR","D",62,-0.215873873966203,-0.842613826366433,0.401933999854326
"25","Collins (ME)","ms collins","Collins","ME","R",25,-0.210160258781004,-0.696839313639068,0.275301262672431
"97","Warner (VA)","mr warner","Warner","VA","D",97,-0.194418813513192,-0.645728005430027,0.248738937069049
"74","Nelson (NE)","mr nelson of nebraska","Nelson","NE","D",74,-0.184692417614702,-0.92114492074814,0.567481849714302
"45","Harkin (IA)","mr harkin","Harkin","IA","D",45,-0.170816221514107,-0.745815548235316,0.418859554345978
"81","Salazar (CO)","mr salazar","Salazar","CO","D",81,-0.159101800443535,-0.669858344803427,0.35538889837507
"18","Carper (DE)","mr carper","Carper","DE","D",18,-0.150432204796511,-0.776502730234318,0.474106443155675
"10","Boxer (CA)","mrs boxer","Boxer","CA","D",10,-0.142743598990225,-0.597688864523182,0.298551539353516
"20","Chambliss (GA)","mr chambliss","Chambliss","GA","R",20,-0.128947743086071,-0.673930712969715,0.3982456407675
"90","Stevens (AK)","mr stevens","Stevens","AK","R",90,-0.0399623405352136,-0.670571644891928,0.595724819822551
"24","Coleman (MN)","mr coleman","Coleman","MN","R",24,-0.0312006255452012,-0.758007694747051,0.649237212291812
"96","Voinovich (OH)","mr voinovich","Voinovich","OH","R",96,0.00120277359348631,-0.821762718408393,0.789530044861102
"66","McCain (AZ)","mr mccain","McCain","AZ","R",66,0.127710055191218,-0.577848691184072,0.802128457313328
"36","Durbin (IL)","mr durbin","Durbin","IL","D",36,0.129507117661104,-0.307122009509854,0.600341280081387
"101","Wyden (OR)","mr wyden","Wyden","OR","D",101,0.137106021830784,-0.452155358586621,0.71691385467671
"44","Hagel (NE)","mr hagel","Hagel","NE","R",44,0.150914204817078,-0.726417394434149,0.969699987940738
"29","Craig (ID)","mr craig","Craig","ID","R",29,0.163480630336638,-0.396439122505103,0.723666134725547
"67","McCaskill (MO)","mrs mccaskill","McCaskill","MO","D",67,0.182781229759634,-0.455656830314166,0.807282349083389
"86","Smith (OR)","mr smith","Smith","OR","R",86,0.19530067988584,-0.435460196104269,0.803065359485191
"57","Landrieu (LA)","ms landrieu","Landrieu","LA","D",57,0.212706241788398,-0.427782207393423,0.829826247926308
"38","Enzi (WY)","mr enzi","Enzi","WY","R",38,0.238872165384475,-0.227830139933483,0.698060118543635
"71","Murkowski (AK)","ms murkowski","Murkowski","AK","R",71,0.24184535737593,-1.13474435730893,1.23087548305004
"35","Dorgan (ND)","mr dorgan","Dorgan","ND","D",35,0.246475319192646,-0.297627084875082,0.790511394947102
"30","Crapo (ID)","mr crapo","Crapo","ID","R",30,0.26125622895212,-0.996198268465364,1.3831434771328
"47","Hutchison (TX)","mrs hutchison","Hutchison","TX","R",47,0.282073843138027,-0.244963766581159,0.797564927000715
"50","Isakson (GA)","mr isakson","Isakson","GA","R",50,0.299891952983382,-0.358697260686684,0.94485446847764
"23","Cochran (MS)","mr cochran","Cochran","MS","R",23,0.313385337507964,-0.325047983215661,0.916286561750871
"64","Lugar (IN)","mr lugar","Lugar","IN","R",64,0.316731500534052,-0.535498148420567,1.17042368947178
"78","Reid (NV)","mr reid","Reid","NV","D",78,0.336983067728484,0.0416293649193595,0.630508874150229
"93","Thomas (WY)","mr thomas","Thomas","WY","R",93,0.338333046361013,-0.450286795355675,1.11351203117007
"65","Martinez (FL)","mr martinez","Martinez","FL","R",65,0.359266323963975,-0.268234423435654,0.95403607072641
"48","Inhofe (OK)","mr inhofe","Inhofe","OK","R",48,0.369483093427428,-0.246174165297795,0.963277423375661
"4","Barrasso (WY)","mr barrasso","Barrasso","WY","R",4,0.379145470022602,-0.471328338081863,1.16902035197884
"33","Dole (NC)","mrs dole","Dole","NC","R",33,0.388809761459876,-0.451545041908469,1.23777987819924
"3","Allard (CO)","mr allard","Allard","CO","R",3,0.42439809754225,-0.0878908302905156,0.92968823704718
"7","Bennett (UT)","mr bennett","Bennett","UT","R",7,0.432004369289707,-0.2774307590465,1.14966179983462
"2","Alexander (TN)","mr alexander","Alexander","TN","R",2,0.436238633380486,-0.13554466953939,0.985076417871603
"13","Bunning (KY)","mr bunning","Bunning","KY","R",13,0.44016389770954,-0.195749282155071,1.04492121230189
"84","Sessions (AL)","mr sessions","Sessions","AL","R",84,0.457525559877364,-0.0538499774624095,0.930345810374225
"85","Shelby (AL)","mr shelby","Shelby","AL","R",85,0.490509875343595,-0.299614037958341,1.32486156513048
"41","Graham (SC)","mr graham","Graham","SC","R",41,0.49135498120099,-0.0943591941386758,1.07537569394101
"88","Specter (PA)","mr specter","Specter","PA","R",88,0.574564705243019,0.0886351891857348,1.06224144666132
"37","Ensign (NV)","mr ensign","Ensign","NV","R",37,0.57817482295885,0.009013570084563,1.16949287781211
"94","Thune (SD)","mr thune","Thune","SD","R",94,0.582910715730995,-0.0347509024654381,1.18057082997856
"95","Vitter (LA)","mr vitter","Vitter","LA","R",95,0.614483287021469,0.043116543270257,1.17307752432517
"34","Domenici (NM)","mr domenici","Domenici","NM","R",34,0.629469733862375,0.170772118119932,1.08642172218888
"27","Corker (TN)","mr corker","Corker","TN","R",27,0.631237544275136,-0.037353360304149,1.29645237865829
"31","DeMint (SC)","mr demint","DeMint","SC","R",31,0.64691371707718,0.199019194426738,1.10285496401945
"5","Baucus (MT)","mr baucus","Baucus","MT","D",5,0.66236260860423,0.117499907250471,1.20968120542983
"100","Wicker (MS)","mr wicker","Wicker","MS","R",100,0.697389441512726,-0.167828926191493,1.55619317369005
"79","Roberts (KS)","mr roberts","Roberts","KS","R",79,0.731681986876499,0.0228953889013256,1.43040443370485
"28","Cornyn (TX)","mr cornyn","Cornyn","TX","R",28,0.80354520136475,0.41529391605291,1.20015527132663
"91","Sununu (NH)","mr sununu","Sununu","NH","R",91,0.817926877466715,0.120989559899767,1.55868220056415
"56","Kyl (AZ)","mr kyl","Kyl","AZ","R",56,0.846935943709469,0.401394152555645,1.2941686143005
"46","Hatch (UT)","mr hatch","Hatch","UT","R",46,0.859374150505622,0.379306668097324,1.32854964803838
"22","Coburn (OK)","mr coburn","Coburn","OK","R",22,0.897683115120174,0.327059646416296,1.44718171660675
"68","McConnell (KY)","mr mcconnell","McConnell","KY","R",68,0.938476402452299,0.555978339831895,1.32281633673785
"26","Conrad (ND)","mr conrad","Conrad","ND","D",26,0.959402328831799,0.435667123024715,1.4908076971859
