"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female","vote.score","speech.score","speech.score.lower","speech.score.upper","vote.score.normalized","speech.score.normalized"
"mr abraham",104,"Spencer","Abraham","MI","R","Abraham (MI)",1,"Michigan",0,0,0,0,0,0.777678179257647,0.202406626978488,-0.113087330232958,0.526190038384084,0.693686720026173,0.374789033286077
"mr akaka",104,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",0,0,0,0,0,-1.49060801467879,-0.642057740678274,-0.911427746184877,-0.367928856016039,-1.15929632186226,-1.12616718237355
"mr alexander",109,"Lamar","Alexander","TN","R","Alexander (TN)",3,"Tennessee",0,0,0,0,0,0.789434076710292,0.789021769670036,0.55226064795464,1.03252611305475,0.703290216569141,1.41744243388618
"mr allard",105,"Wayne","Allard","CO","R","Allard (CO)",4,"Colorado",0,0,0,0,0,1.56608233735285,0.438975774697872,0.155423705763854,0.73599009575358,1.33774104571488,0.795268506787125
"mr allen",107,"George","Allen","VA","R","Allen (VA)",5,"Virginia",0,0,0,0,0,0.981780652295933,0.529800907313396,0.00536676852621347,1.02500843846287,0.860419834374103,0.956701662002019
"mr ashcroft",104,"John","Ashcroft","MO","R","Ashcroft (MO)",6,"Missouri",0,0,0,0,0,1.54280710844494,0.675610067046928,0.213129930647459,1.07017701380527,1.31872730548328,1.21586376875784
"ms ayotte",112,"Kelly","Ayotte","NH","R","Ayotte (NH)",7,"New Hampshire",0,0,0,0,1,0.857205253685774,0.66548485126804,0.157285186425173,1.14806651988458,0.758653090090164,1.19786714730135
"ms baldwin",113,"Tammy","Baldwin","WI","D","Baldwin (WI)",8,"Wisconsin",0,0,0,0,1,-1.66074201182685,-1.16463718071058,-1.90552509664329,-0.355338847810997,-1.29828028799792,-2.055003127067
"mr barkley",107,"Dean","Barkley","MN","I","Barkley (MN)",9,"Minnesota",0,0,0,0,0,0.116703998173557,0.095919500865915,-1.77324236852197,1.92414281896841,0.153731068949617,0.18551815348578
"mr barrasso",110,"John","Barrasso","WY","R","Barrasso (WY)",10,"Wyoming",0,0,1,1,0,1.38891840337277,0.802820405310658,0.492154764126086,1.0790324937223,1.19301426204142,1.44196821463627
"mr baucus",104,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,1,0,0,0,-0.70497931853369,0.146085874499072,-0.0320141639843123,0.323045539560876,-0.517509295573729,0.27468417777965
"mr bayh",106,"Evan","Bayh","IN","D","Bayh (IN)",12,"Indiana",0,0,0,0,0,-0.732059692744113,-0.557933002094906,-1.2159455457329,0.0651916755233086,-0.539631492637771,-0.97664334915627
"mr begich",111,"Mark","Begich","AK","D","Begich (AK)",13,"Alaska",0,0,0,0,0,-0.873024685843667,-0.796010701208592,-1.19173913890078,-0.413071225735184,-0.654787041532635,-1.39980413128163
"mr bennet",111,"Michael","Bennet","CO","D","Bennet (CO)",14,"Colorado",0,0,1,0,0,-0.798083304633535,-0.249301583851886,-0.635153216070836,0.14298036555853,-0.593566764792741,-0.42807994813898
"mr bennett",104,"Robert","Bennett","UT","R","Bennett (UT)",15,"Utah",0,0,0,0,0,0.814919102878142,0.606387542757614,0.275142641985785,0.925040754553496,0.724109159715445,1.09282722384832
"mr biden",104,"Joseph R., Jr.","Biden","DE","D","Biden (DE)",16,"Delaware",0,1,0,0,0,-1.06427644417805,0.157260541280519,-0.104620366218855,0.417755448730594,-0.811022293447627,0.294546099970729
"mr bingaman",104,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",0,0,0,0,0,-1.07919980221192,-0.23610724756546,-0.452931436079284,-0.0326917386415198,-0.823213316537534,-0.40462825281693
