"debateID","speakersN","congress","session","weekday","day","month","year","title","date"
1,8,104,2,"Thursday",19,"September",1996,"accountable pipeline safety and partnership act of 1996","1996-09-19"
2,5,104,2,"Monday",10,"June",1996,"a difference in priorities","1996-06-10"
3,5,104,2,"Wednesday",12,"June",1996,"administrative dispute resolution act of 1995","1996-06-12"
4,5,104,1,"Wednesday",15,"March",1995,"affirmative action","1995-03-15"
5,6,104,2,"Wednesday",27,"March",1996,"agricultural market transition act--conference report","1996-03-27"
6,11,104,2,"Thursday",1,"February",1996,"agricultural market transition act of 1996","1996-02-01"
7,15,104,2,"Tuesday",6,"February",1996,"agricultural market transition act of 1996","1996-02-06"
8,47,104,2,"Wednesday",7,"February",1996,"agricultural market transition act of 1996","1996-02-07"
9,14,104,1,"Monday",18,"September",1995,"agriculture, rural development, food and drug administration, and related agencies appropriations act, 1996","1995-09-18"
10,33,104,1,"Tuesday",19,"September",1995,"agriculture, rural development, food and drug administration, and related agencies appropriations act, 1996","1995-09-19"
11,12,104,1,"Wednesday",20,"September",1995,"agriculture, rural development, food and drug administration, and related agencies appropriations act, 1996","1995-09-20"
12,5,104,1,"Thursday",12,"October",1995,"agriculture, rural development, food and drug administration, and related agencies appropriations act, 1996--conference report","1995-10-12"
13,7,104,2,"Thursday",1,"August",1996,"agriculture, rural development, food and drug administration, and related agencies appropriations act, 1997 conference report","1996-08-01"
14,14,104,2,"Monday",22,"July",1996,"agriculture, rural development, food and drug administration, and related agencies appropriations act for fiscal year 1997","1996-07-22"
15,20,104,2,"Tuesday",23,"July",1996,"agriculture, rural development, food and drug administration, and related agencies appropriations act for fiscal year 1997","1996-07-23"
16,32,104,2,"Wednesday",24,"July",1996,"agriculture, rural development, food and drug administration, and related agencies appropriations act for fiscal year 1997","1996-07-24"
17,7,104,2,"Monday",22,"July",1996,"agriculture, rural development, food and drug administration, and related agencies appropriations for fiscal year 1997","1996-07-22"
18,9,104,1,"Monday",15,"May",1995,"alaska power administration asset sale and termination act","1995-05-15"
19,12,104,1,"Tuesday",16,"May",1995,"alaska power administration asset sale and termination act","1995-05-16"
20,12,104,1,"Tuesday",14,"November",1995,"alaska power administration asset sale and termination act--conference report","1995-11-14"
21,8,104,1,"Thursday",5,"January",1995,"amending paragraph 2 of rule xxv","1995-01-05"
22,5,104,1,"Friday",15,"September",1995,"amendment no. 2483, as modified","1995-09-15"
23,10,104,1,"Thursday",7,"September",1995,"announcement of intent to resign from the senate","1995-09-07"
24,10,104,1,"Monday",9,"January",1995,"announcement of retirement of bennett johnston","1995-01-09"
25,7,104,2,"Friday",2,"August",1996,"a victory for working americans","1996-08-02"
26,5,104,1,"Monday",6,"March",1995,"balanced budget amendment","1995-03-06"
27,8,104,1,"Monday",30,"January",1995,"balanced budget amendment to the constitution","1995-01-30"
28,13,104,1,"Tuesday",31,"January",1995,"balanced budget amendment to the constitution","1995-01-31"
29,16,104,1,"Wednesday",1,"February",1995,"balanced budget amendment to the constitution","1995-02-01"
30,19,104,1,"Thursday",2,"February",1995,"balanced budget amendment to the constitution","1995-02-02"
31,15,104,1,"Friday",3,"February",1995,"balanced budget amendment to the constitution","1995-02-03"
32,21,104,1,"Monday",6,"February",1995,"balanced budget amendment to the constitution","1995-02-06"
33,10,104,1,"Tuesday",7,"February",1995,"balanced budget amendment to the constitution","1995-02-07"
34,25,104,1,"Wednesday",8,"February",1995,"balanced budget amendment to the constitution","1995-02-08"
35,17,104,1,"Thursday",9,"February",1995,"balanced budget amendment to the constitution","1995-02-09"
36,16,104,1,"Friday",10,"February",1995,"balanced budget amendment to the constitution","1995-02-10"
37,17,104,1,"Monday",13,"February",1995,"balanced budget amendment to the constitution","1995-02-13"
38,20,104,1,"Tuesday",14,"February",1995,"balanced budget amendment to the constitution","1995-02-14"
39,16,104,1,"Wednesday",15,"February",1995,"balanced budget amendment to the constitution","1995-02-15"
40,6,104,1,"Thursday",16,"February",1995,"balanced budget amendment to the constitution","1995-02-16"
41,18,104,1,"Wednesday",22,"February",1995,"balanced budget amendment to the constitution","1995-02-22"
42,7,104,1,"Friday",24,"February",1995,"balanced budget amendment to the constitution","1995-02-24"
43,26,104,1,"Monday",27,"February",1995,"balanced budget amendment to the constitution","1995-02-27"
44,10,104,2,"Monday",3,"June",1996,"balanced budget amendment to the constitution","1996-06-03"
45,36,104,2,"Wednesday",5,"June",1996,"balanced budget amendment to the constitution","1996-06-05"
46,27,104,2,"Thursday",6,"June",1996,"balanced budget amendment to the constitution","1996-06-06"
47,20,104,1,"Wednesday",15,"February",1995,"balanced budget amendment to the constitution the assistant legislative clerk read as follows:","1995-02-15"
48,5,104,2,"Friday",26,"January",1996,"balanced budget downpayment act, i","1996-01-26"
49,7,104,2,"Monday",11,"March",1996,"balanced budget downpayment act, ii","1996-03-11"
50,35,104,2,"Tuesday",12,"March",1996,"balanced budget downpayment act, ii","1996-03-12"
51,32,104,2,"Wednesday",13,"March",1996,"balanced budget downpayment act, ii","1996-03-13"
52,44,104,2,"Thursday",14,"March",1996,"balanced budget downpayment act, ii","1996-03-14"
53,15,104,2,"Friday",15,"March",1996,"balanced budget downpayment act, ii","1996-03-15"
54,10,104,2,"Monday",18,"March",1996,"balanced budget downpayment act, ii","1996-03-18"
55,37,104,2,"Tuesday",19,"March",1996,"balanced budget downpayment act, ii","1996-03-19"
56,14,104,1,"Friday",27,"October",1995,"balanced budget reconciliation act","1995-10-27"
57,47,104,1,"Thursday",26,"October",1995,"balanced budget reconciliation act of 1995","1995-10-26"
58,35,104,1,"Friday",27,"October",1995,"balanced budget reconciliation act of 1995","1995-10-27"
59,13,104,1,"Thursday",21,"December",1995,"basing budget negotiations on most recent technical and economic assumptions of congressional budget office","1995-12-21"
60,13,104,1,"Friday",24,"March",1995,"black humor","1995-03-24"
61,5,104,1,"Thursday",30,"November",1995,"bosnia","1995-11-30"
62,5,104,1,"Tuesday",18,"July",1995,"bosnia and herzegovina self-defense act","1995-07-18"
63,21,104,1,"Wednesday",19,"July",1995,"bosnia and herzegovina self-defense act of 1995","1995-07-19"
64,14,104,1,"Wednesday",26,"July",1995,"bosnia and herzegovina self-defense act of 1995","1995-07-26"
65,5,104,1,"Thursday",2,"March",1995,"breaking the spending addiction","1995-03-02"
66,5,104,1,"Friday",20,"October",1995,"budget reconciliation","1995-10-20"
67,44,104,1,"Thursday",29,"June",1995,"budget resolution","1995-06-29"
68,14,104,2,"Monday",9,"September",1996,"cable television provision","1996-09-09"
69,9,104,1,"Thursday",16,"February",1995,"call of the roll","1995-02-16"
70,12,104,2,"Monday",24,"June",1996,"campaign finance reform","1996-06-24"
71,34,104,2,"Tuesday",25,"June",1996,"campaign finance reform","1996-06-25"
72,13,104,2,"Wednesday",26,"June",1996,"church arson prevention act of 1996","1996-06-26"
73,9,104,1,"Wednesday",18,"January",1995,"cloture motion","1995-01-18"
74,5,104,1,"Tuesday",14,"February",1995,"cloture motion","1995-02-14"
75,12,104,1,"Monday",5,"June",1995,"cloture motion","1995-06-05"
76,12,104,2,"Thursday",27,"June",1996,"cloture motion","1996-06-27"
77,7,104,2,"Thursday",3,"October",1996,"cloture vote on federal aviation administration reauthorization","1996-10-03"
78,9,104,1,"Friday",17,"November",1995,"coast guard authorization","1995-11-17"
79,15,104,2,"Thursday",11,"July",1996,"coast guard authorization act for fiscal year 1996","1996-07-11"
80,8,104,2,"Saturday",28,"September",1996,"coast guard authorization act of 1996--conference report","1996-09-28"
81,6,104,2,"Friday",26,"January",1996,"commending senator sam nunn for casting 10,000 votes","1996-01-26"
82,6,104,1,"Monday",24,"April",1995,"commonsense product liability and legal reform act","1995-04-24"
83,6,104,1,"Tuesday",25,"April",1995,"commonsense product liabil- ity and legal reform act","1995-04-25"
84,17,104,1,"Wednesday",26,"April",1995,"commonsense product liabil- ity and legal reform act","1995-04-26"
85,16,104,1,"Thursday",27,"April",1995,"commonsense product liabil- ity and legal reform act","1995-04-27"
86,9,104,1,"Monday",1,"May",1995,"commonsense product liabil- ity and legal reform act","1995-05-01"
87,13,104,1,"Tuesday",2,"May",1995,"commonsense product liabil- ity and legal reform act","1995-05-02"
88,14,104,1,"Wednesday",3,"May",1995,"commonsense product liabil- ity and legal reform act","1995-05-03"
89,7,104,1,"Wednesday",3,"May",1995,"commonsense product liability and legal reform act","1995-05-03"
90,7,104,1,"Thursday",4,"May",1995,"commonsense product liabil- ity and legal reform act","1995-05-04"
91,8,104,1,"Monday",8,"May",1995,"commonsense product liabil- ity and legal reform act","1995-05-08"
92,5,104,1,"Tuesday",9,"May",1995,"commonsense product liabil- ity and legal reform act","1995-05-09"
93,27,104,2,"Wednesday",20,"March",1996,"common sense product liability legal reform act of 1996--conference report","1996-03-20"
94,23,104,2,"Thursday",21,"March",1996,"commonsense product liability legal reform act of 1996--conference report","1996-03-21"
95,5,104,2,"Tuesday",19,"March",1996,"common sense product liability reform act","1996-03-19"
96,15,104,1,"Wednesday",27,"September",1995,"community development financial institutions fund","1995-09-27"
97,7,104,2,"Tuesday",17,"September",1996,"comprehensive methamphetamine control act of 1996","1996-09-17"
98,6,104,1,"Wednesday",28,"June",1995,"comprehensive regulatory reform act","1995-06-28"
99,5,104,1,"Thursday",29,"June",1995,"comprehensive regulatory reform act","1995-06-29"
100,14,104,1,"Monday",10,"July",1995,"comprehensive regulatory reform act","1995-07-10"
