"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female"
"mr abraham",104,"Spencer","Abraham","MI","R","Abraham (MI)",1,"Michigan",0,0,0,0,0
"mr abraham",105,"Spencer","Abraham","MI","R","Abraham (MI)",1,"Michigan",0,0,0,0,0
"mr abraham",106,"Spencer","Abraham","MI","R","Abraham (MI)",1,"Michigan",0,1,0,0,0
"mr akaka",104,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",0,0,0,0,0
"mr akaka",105,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",0,0,0,0,0
"mr akaka",106,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",0,1,0,0,0
"mr akaka",107,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",0,0,0,0,0
"mr alexander",108,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",0,0,0,0,0
"mr akaka",109,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",0,1,0,0,0
"mr akaka",110,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",0,0,0,0,0
"mr akaka",111,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",0,0,0,0,0
"mr akaka",112,"Daniel","Akaka","HI","D","Akaka (HI)",2,"Hawaii",1,0,0,0,0
"mr alexander",109,"Lamar","Alexander","TN","R","Alexander (TN)",3,"Tennessee",0,0,0,0,0
"mr alexander",110,"Lamar","Alexander","TN","R","Alexander (TN)",3,"Tennessee",0,1,0,0,0
"mr alexander",111,"Lamar","Alexander","TN","R","Alexander (TN)",3,"Tennessee",0,0,0,0,0
"mr alexander",112,"Lamar","Alexander","TN","R","Alexander (TN)",3,"Tennessee",0,0,0,0,0
"mr alexander",113,"Lamar","Alexander","TN","R","Alexander (TN)",3,"Tennessee",0,1,0,0,0
"mr allard",105,"Wayne","Allard","CO","R","Allard (CO)",4,"Colorado",0,0,0,0,0
"mr allard",106,"Wayne","Allard","CO","R","Allard (CO)",4,"Colorado",0,0,0,0,0
"mr allard",107,"Wayne","Allard","CO","R","Allard (CO)",4,"Colorado",0,1,0,0,0
"mr allard",108,"Wayne","Allard","CO","R","Allard (CO)",4,"Colorado",0,0,0,0,0
"mr allard",109,"Wayne","Allard","CO","R","Allard (CO)",4,"Colorado",0,0,0,0,0
"mr allard",110,"Wayne","Allard","CO","R","Allard (CO)",4,"Colorado",1,0,0,0,0
"mr allen",107,"George","Allen","VA","R","Allen (VA)",5,"Virginia",0,0,0,0,0
"mr allen",108,"George","Allen","VA","R","Allen (VA)",5,"Virginia",0,0,0,0,0
"mr allen",109,"George","Allen","VA","R","Allen (VA)",5,"Virginia",0,1,0,0,0
"mr ashcroft",104,"John","Ashcroft","MO","R","Ashcroft (MO)",6,"Missouri",0,0,0,0,0
"mr ashcroft",105,"John","Ashcroft","MO","R","Ashcroft (MO)",6,"Missouri",0,0,0,0,0
"mr ashcroft",106,"John","Ashcroft","MO","R","Ashcroft (MO)",6,"Missouri",0,1,0,0,0
"ms ayotte",112,"Kelly","Ayotte","NH","R","Ayotte (NH)",7,"New Hampshire",0,0,0,0,1
"ms ayotte",113,"Kelly","Ayotte","NH","R","Ayotte (NH)",7,"New Hampshire",0,0,0,0,1
"ms baldwin",113,"Tammy","Baldwin","WI","D","Baldwin (WI)",8,"Wisconsin",0,0,0,0,1
"mr barkley",107,"Dean","Barkley","MN","I","Barkley (MN)",9,"Minnesota",0,0,0,0,0
"mr barrasso",110,"John","Barrasso","WY","R","Barrasso (WY)",10,"Wyoming",0,0,1,1,0
"mr barrasso",111,"John","Barrasso","WY","R","Barrasso (WY)",10,"Wyoming",0,0,0,0,0
"mr barrasso",112,"John","Barrasso","WY","R","Barrasso (WY)",10,"Wyoming",0,0,0,0,0
"mr barrasso",113,"John","Barrasso","WY","R","Barrasso (WY)",10,"Wyoming",0,0,0,0,0
"mr baucus",104,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,1,0,0,0
"mr baucus",105,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,0,0,0,0
"mr baucus",106,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,0,0,0,0
"mr baucus",107,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,1,0,0,0
"mr baucus",108,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,0,0,0,0
"mr baucus",109,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,0,0,0,0
"mr baucus",110,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,1,0,0,0
"mr baucus",111,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,0,0,0,0
"mr baucus",112,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,0,0,0,0
"mr baucus",113,"Max","Baucus","MT","D","Baucus (MT)",11,"Montana",0,0,0,0,0
"mr bayh",106,"Evan","Bayh","IN","D","Bayh (IN)",12,"Indiana",0,0,0,0,0
"mr bayh",107,"Evan","Bayh","IN","D","Bayh (IN)",12,"Indiana",0,0,0,0,0
"mr bayh",108,"Evan","Bayh","IN","D","Bayh (IN)",12,"Indiana",0,1,0,0,0
"mr bayh",109,"Evan","Bayh","IN","D","Bayh (IN)",12,"Indiana",0,0,0,0,0
"mr bayh",110,"Evan","Bayh","IN","D","Bayh (IN)",12,"Indiana",0,0,0,0,0
"mr bayh",111,"Evan","Bayh","IN","D","Bayh (IN)",12,"Indiana",1,0,0,0,0
"mr begich",111,"Mark","Begich","AK","D","Begich (AK)",13,"Alaska",0,0,0,0,0
"mr begich",112,"Mark","Begich","AK","D","Begich (AK)",13,"Alaska",0,0,0,0,0
"mr begich",113,"Mark","Begich","AK","D","Begich (AK)",13,"Alaska",0,1,0,0,0
"mr bennet",111,"Michael","Bennet","CO","D","Bennet (CO)",14,"Colorado",0,0,1,0,0
"mr bennet",112,"Michael","Bennet","CO","D","Bennet (CO)",14,"Colorado",0,0,0,0,0
"mr bennet",113,"Michael","Bennet","CO","D","Bennet (CO)",14,"Colorado",0,0,0,0,0
"mr bennett",104,"Robert","Bennett","UT","R","Bennett (UT)",15,"Utah",0,0,0,0,0
"mr bennett",105,"Robert","Bennett","UT","R","Bennett (UT)",15,"Utah",0,1,0,0,0
"mr bennett",106,"Robert","Bennett","UT","R","Bennett (UT)",15,"Utah",0,0,0,0,0
"mr bennett",107,"Robert","Bennett","UT","R","Bennett (UT)",15,"Utah",0,0,0,0,0
"mr bennett",108,"Robert","Bennett","UT","R","Bennett (UT)",15,"Utah",0,1,0,0,0
"mr bennett",109,"Robert","Bennett","UT","R","Bennett (UT)",15,"Utah",0,0,0,0,0
"mr bennett",110,"Robert","Bennett","UT","R","Bennett (UT)",15,"Utah",0,0,0,0,0
"mr bennett",111,"Robert","Bennett","UT","R","Bennett (UT)",15,"Utah",0,1,0,0,0
"mr biden",104,"Joseph R., Jr.","Biden","DE","D","Biden (DE)",16,"Delaware",0,1,0,0,0
"mr biden",105,"Joseph R., Jr.","Biden","DE","D","Biden (DE)",16,"Delaware",0,0,0,0,0
"mr biden",106,"Joseph R., Jr.","Biden","DE","D","Biden (DE)",16,"Delaware",0,0,0,0,0
"mr biden",107,"Joseph R., Jr.","Biden","DE","D","Biden (DE)",16,"Delaware",0,1,0,0,0
"mr biden",108,"Joseph R., Jr.","Biden","DE","D","Biden (DE)",16,"Delaware",0,0,0,0,0
"mr biden",109,"Joseph R., Jr.","Biden","DE","D","Biden (DE)",16,"Delaware",0,0,0,0,0
"mr biden",110,"Joseph R., Jr.","Biden","DE","D","Biden (DE)",16,"Delaware",0,1,0,0,0
"mr biden",111,"Joseph R., Jr.","Biden","DE","D","Biden (DE)",16,"Delaware",0,0,0,0,0
"mr bingaman",104,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",0,0,0,0,0
"mr bingaman",105,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",0,0,0,0,0
"mr bingaman",106,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",0,1,0,0,0
"mr bingaman",107,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",0,0,0,0,0
"mr bingaman",108,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",0,0,0,0,0
"mr bingaman",109,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",0,1,0,0,0
"mr bingaman",110,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",0,0,0,0,0
"mr bingaman",111,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",0,0,0,0,0
"mr bingaman",112,"Jeff","Bingaman","NM","D","Bingaman (NM)",17,"New Mexico",1,0,0,0,0
"mr blumenthal",112,"Richard","Blumenthal","CT","D","Blumenthal (CT)",18,"Connecticut",0,0,0,0,0
"mr blumenthal",113,"Richard","Blumenthal","CT","D","Blumenthal (CT)",18,"Connecticut",0,0,0,0,0
"mr blunt",112,"Roy","Blunt","MO","R","Blunt (MO)",19,"Missouri",0,0,0,0,0
"mr blunt",113,"Roy","Blunt","MO","R","Blunt (MO)",19,"Missouri",0,0,0,0,0
"mr bond",104,"Kit","Bond","MO","R","Bond (MO)",20,"Missouri",0,0,0,0,0
"mr bond",105,"Kit","Bond","MO","R","Bond (MO)",20,"Missouri",0,1,0,0,0
"mr bond",106,"Kit","Bond","MO","R","Bond (MO)",20,"Missouri",0,0,0,0,0
"mr bond",107,"Kit","Bond","MO","R","Bond (MO)",20,"Missouri",0,0,0,0,0
"mr bond",108,"Kit","Bond","MO","R","Bond (MO)",20,"Missouri",0,1,0,0,0
"mr bond",109,"Kit","Bond","MO","R","Bond (MO)",20,"Missouri",0,0,0,0,0
"mr bond",110,"Kit","Bond","MO","R","Bond (MO)",20,"Missouri",0,0,0,0,0
"mr bond",111,"Kit","Bond","MO","R","Bond (MO)",20,"Missouri",1,0,0,0,0
"mr booker",113,"Cory","Booker","NJ","D","Booker (NJ)",21,"New Jersey",0,1,0,0,0
"mr boozman",112,"John","Boozman","AR","R","Boozman (AR)",22,"Arkansas",0,0,0,0,0
"mr boozman",113,"John","Boozman","AR","R","Boozman (AR)",22,"Arkansas",0,0,0,0,0
"mrs boxer",104,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,0,0,0,1
"mrs boxer",105,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,1,0,0,1
"mrs boxer",106,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,0,0,0,1
"mrs boxer",107,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,0,0,0,1
"mrs boxer",108,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,1,0,0,1
"mrs boxer",109,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,0,0,0,1
"mrs boxer",110,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,0,0,0,1
"mrs boxer",111,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,1,0,0,1
"mrs boxer",112,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,0,0,0,1
"mrs boxer",113,"Barbara","Boxer","CA","D","Boxer (CA)",23,"California",0,0,0,0,1
"mr bradley",104,"Bill","Bradley","NJ","D","Bradley (NJ)",24,"New Jersey",1,0,0,0,0
"mr breaux",104,"John","Breaux","LA","D","Breaux (LA)",25,"Louisiana",0,0,0,0,0
"mr breaux",105,"John","Breaux","LA","D","Breaux (LA)",25,"Louisiana",0,1,0,0,0
"mr breaux",106,"John","Breaux","LA","D","Breaux (LA)",25,"Louisiana",0,0,0,0,0
"mr breaux",107,"John","Breaux","LA","D","Breaux (LA)",25,"Louisiana",0,0,0,0,0
"mr breaux",108,"John","Breaux","LA","D","Breaux (LA)",25,"Louisiana",1,0,0,0,0
"mr brown",104,"George Hanks (Hank)","Brown","CO","R","Brown (CO)",26,"Colorado",1,0,0,0,0
"mr brown of massachusetts",111,"Scott P.","Brown","MA","R","Brown (MA)",27,"Massachusetts",0,0,0,0,0
"mr brown of massachusetts",112,"Scott P.","Brown","MA","R","Brown (MA)",27,"Massachusetts",0,1,0,0,0
"mr brown",110,"Sherrod","Brown","OH","D","Brown (OH)",28,"Ohio",0,0,0,0,0
"mr brown of ohio",111,"Sherrod","Brown","OH","D","Brown (OH)",28,"Ohio",0,0,0,0,0
"mr brown of ohio",112,"Sherrod","Brown","OH","D","Brown (OH)",28,"Ohio",0,1,0,0,0
"mr brown",113,"Sherrod","Brown","OH","D","Brown (OH)",28,"Ohio",0,0,0,0,0
"mr brownback",105,"Sam","Brownback","KS","R","Brownback (KS)",29,"Kansas",0,1,0,0,0
"mr brownback",106,"Sam","Brownback","KS","R","Brownback (KS)",29,"Kansas",0,0,0,0,0
"mr brownback",107,"Sam","Brownback","KS","R","Brownback (KS)",29,"Kansas",0,0,0,0,0
"mr brownback",108,"Sam","Brownback","KS","R","Brownback (KS)",29,"Kansas",0,1,0,0,0
"mr brownback",109,"Sam","Brownback","KS","R","Brownback (KS)",29,"Kansas",0,0,0,0,0
"mr brownback",110,"Sam","Brownback","KS","R","Brownback (KS)",29,"Kansas",0,0,0,0,0
"mr brownback",111,"Sam","Brownback","KS","R","Brownback (KS)",29,"Kansas",1,0,0,0,0
"mr bryan",104,"Richard","Bryan","NV","D","Bryan (NV)",30,"Nevada",0,0,0,0,0
"mr bryan",105,"Richard","Bryan","NV","D","Bryan (NV)",30,"Nevada",0,0,0,0,0
"mr bryan",106,"Richard","Bryan","NV","D","Bryan (NV)",30,"Nevada",1,0,0,0,0
"mr bumpers",104,"Dale","Bumpers","AR","D","Bumpers (AR)",31,"Arkansas",0,0,0,0,0
"mr bumpers",105,"Dale","Bumpers","AR","D","Bumpers (AR)",31,"Arkansas",1,0,0,0,0
"mr bunning",106,"Jim","Bunning","KY","R","Bunning (KY)",32,"Kentucky",0,0,0,0,0
"mr bunning",107,"Jim","Bunning","KY","R","Bunning (KY)",32,"Kentucky",0,0,0,0,0
"mr bunning",108,"Jim","Bunning","KY","R","Bunning (KY)",32,"Kentucky",0,1,0,0,0
"mr bunning",109,"Jim","Bunning","KY","R","Bunning (KY)",32,"Kentucky",0,0,0,0,0
"mr bunning",110,"Jim","Bunning","KY","R","Bunning (KY)",32,"Kentucky",0,0,0,0,0
"mr bunning",111,"Jim","Bunning","KY","R","Bunning (KY)",32,"Kentucky",1,0,0,0,0
"mr burns",104,"Conrad","Burns","MT","R","Burns (MT)",33,"Montana",0,0,0,0,0
"mr burns",105,"Conrad","Burns","MT","R","Burns (MT)",33,"Montana",0,0,0,0,0
